Source,Sentence
Train,Она пошла искать товарища.
Train,Лиса живёт в лесу.
Train,Тихо шумят деревья.
Train,Он спешит на горку.
Train,Тётя Люся купила мне книгу.
Train,Вышивку Оля подарит любимой мамочке.
Train,Сестра Катя кормила птиц кусочками хлеба.
Train,Маленький Дима строит замок.
Train,Снега уже нет.
Train,Они весело хлопочут.
Train,В лес пришли дети.
Train,Вася чуть не упал в воду.
Train,Кричат грачи.
Train,Зазвенели их мелодичные голоса.
Train,Играют малыши.
Train,Дома тепло.
Train,Только частые капли стучат по стеклу.
Train,Лапки у кота белые.
Train,Около липы летают пчёлы.
Train,Из лесной чащи слышен печальный голос кукушки.
Train,Борис держит вещи в порядке.
Train,Мальчики рады.
Train,Под снежным одеялом уснули кусты.
Train,Вася побежал по льду.
Train,Оля пишет брату письмо.
Train,Усы большие.
Train,На небе тёмные тучи.
Train,На сосне было старое гнездо.
Train,Кот Пушок пил молоко.
Train,Петух Петька шагал прямо по лужам.
Train,Это была рысь.
Train,Малыши Алёша и Юра вышли гулять.
Train,Показалась мёрзлая бурая земля.
Train,Белый снег укрыл дома и машины.
Train,Зазвенела первая капель.
Train,На дереве гнездо.
Train,Снег закрыл весь корм в лесу.
Train,Отец дал компас.
Train,Брат построил нам шалаш.
Train,Летит быстрая ласточка.
Train,Их вырастили Сёма и Юра.
Train,Они быстро мчат по мутной воде.
Train,Белочка спрячется в дупле.
Train,Ежи прячутся в норах.
Train,Они читали букварь.
Train,Льдина на льдину находит.
Train,Бобры живут на реке.
Train,Лес стоит серый и мрачный.
Train,Раскисла снежная горка.
Train,Раз дед и внучка пошли в сад.
Train,Дюймовочка искала себе дом на зиму.
Train,У Ильи и Ольги лыжи.
Train,Давно пора.
Train,Ваня взял лыжи.
Train,У дедушки в саду растёт молодая яблонька.
Train,У дома вырос большой сугроб.
Train,Тихо шуршит мелкий дождик.
Train,Кран поднял груз.
Train,У реки стрижи.
Train,В яслях много всяких игрушек.
Train,Зверек схватил их.
Train,Всё чаще идут холодные дожди.
Train,Зимой хорошо в лесу.
Train,Пора собирать игрушки.
Train,Верный сторож охраняет ребят.
Train,Старый пень весь закрыт снегом.
Train,Снежные шубы надели сосны и ели.
Train,Алеша пил воду.
Train,Толя и Яша пускают кораблики.
Train,Мальчик пьёт горькие лекарства.
Train,В парке зазеленели деревья.
Train,У дома сад.
Train,На лесной полянке растаял снег.
Train,Они ищут грибы.
Train,Среди травы видны цветы.
Train,Мы поспешили домой.
Train,Ребята работали.
Train,Домик для пернатых гостей дед туго привязал к стволу яблони.
Train,Скоро в гнёздышке запищат маленькие птенцы.
Train,На лесной опушке собрались лисички.
Train,Это были розы.
Train,Это мышка юркнула в норку.
Train,У Люды красивый шар.
Train,Оля читала стихи Пушкина.
Train,В воде резвится мелкая рыбка.
Train,Это лютики и ромашки.
Train,Закрыла солнышко мрачная туча.
Train,Пушистые малыши усердно гребли лапками и плыли за мамой стройной цепочкой.
Train,В наш город пришла весна.
Train,У берега были брёвна.
Train,Мальчик дал котёнку кличку Барсик.
Train,Мама убрала санки и лыжи.
Train,Цветёт душистая липа.
Train,Витя несёт букет ромашек для мамы.
Train,Все жарче и жарче светило солнышко.
Train,Дует сильный ветер.
Train,Облетела листва.
Train,На ель прыгнула белка.
Train,Пели чижи.
Train,В траве трещат кузнечики.
Train,У Миши в ведре окуньки.
Train,Роща залита ярким светом.
Train,По тропке мы вышли на берег.
Train,Дедушка Семён учил нас чинить сети.
Train,Кругом тишина.
Train,Катя проснулась рано.
Train,Ребята играли в шашки.
Train,За нашим теплоходиком летели чайки.
Train,Алеша и мама пошли в поле.
Train,Мыши станут ужином для совы.
Train,Сестрёнка Оля вышивает крестиком.
Train,Спешит на охоту колючий ёжик.
Train,Тихий звон капели будит лес.
Train,Мальчики Юра и Ваня идут в лес.
Train,Запестрели цветы медуницы.
Train,Фонарики делает Лена Яшина.
Train,Я гулял в парке.
Train,Пришла зима.
Train,На лапах ели лежит снег.
Train,Пес Полкан пугает ворон.
Train,Птенчик Чир любил сидеть над дверью.
Train,Задача была трудная.
Train,Зашуршала листва.
Train,В холодной воде плавают моржи.
Train,По небу плывет туча.
Train,Летом поют чижи.
Train,Люся читает книгу.
Train,Перед грозой наступила тишина.
Train,Орехи раскрашивает Аня Чайкова.
Train,Закончился дождь.
Train,Влад и Глеб взяли коньки и побежали на пруд.
Train,Наш лес большой.
Train,Маленький Саша играет в машинки.
Train,Каждый день Игорю звонят школьные друзья.
Train,В школу привезли красивую ёлку.
Train,Трудно лисе зайку найти.
Train,На цветке пчела.
Train,Бабушка Рая водит Люду и Никиту в ясли.
Train,Засияло солнышко.
Train,Весна в этом году задержалась.
Train,Тает потемневший снежок.
Train,Я сама связала шарф.
Train,В густой листве поют птицы.
Train,В кустах гнездо.
Train,Я иду в лес.
Train,У Маши заноза.
Train,Их встречало ласковое солнышко.
Train,Спустилась пушистая белка.
Train,В зоопарке живут разные животные.
Train,Бурлит и шумит вода.
Train,Умные машины облегчают их труд.
Train,У Миши два товарища.
Train,Яркая окраска маленьких цветков завораживала взгляд.
Train,Кричат иволги.
Train,Мы часто ходили на речку удить рыбу.
Train,Антон рисовал кусты.
Train,Пришел Слава Щукин.
Train,Миша и Яша вышли во двор.
Train,Быстро понесла вода льдину к берегу.
Train,У Зины лопатка.
Train,В траве зашуршал ежик.
Train,Девочки лепили снегурку.
Train,Пруд и река покрыты льдом.
Train,Жил в лесу зайка.
Train,Ёжик уколол Юру.
Train,С утра падал снег.
Train,Коля бросил мяч.
Train,Спрятались под корни деревьев змеи.
Train,Котик стал жить у Миши.
Train,Проснулся ежик.
Train,Сегодня чудесная погода.
Train,Мы сами делали игрушки.
Train,Птички вьют гнёзда.
Train,Мальчик играл в рожок.
Train,У стены кран.
Train,У Светы кукла.
Train,Скоро зима.
Train,Дети помчались домой.
Train,Маленький Игорь ловит бабочку.
Train,Надо убирать санки и лыжи.
Train,Дятлы любят долбить шишки.
Train,У Мурки пушистый хвост.
Train,Девочка открыла альбом.
Train,Белочка живёт в дупле.
Train,В вышине широко улыбнулось солнышко.
Train,Заботливо снуют ежи и белки.
Train,В чулане жили мыши.
Train,Печальная пора.
Train,Ярко светит солнышко.
Train,У Полины на картинке озорной котёнок.
Train,У Зиночки день рождения.
Train,Дед Гера набрал большую корзинку сладких плодов.
Train,Лёгкие облачка белых пушинок окутали газоны и дорожки.
Train,Стучат дятлы.
Train,Зиме конец.
Train,Дедушка привёз воз дров.
Train,Весело зажурчали ручьи.
Train,Охотник ловит насекомых.
Train,Зимой я шла на лыжах.
Train,Был теплый день.
Train,Пожелтели берёзки и тополя.
Train,В лесу настала грибная пора.
Train,Лещи и сомы плавают в реке.
Train,По воде плыло бревно.
Train,Погожий майский денёк.
Train,Стоят чудные деньки.
Train,Мамы с малышами гуляют в парке.
Train,Катя взяла сестру на руки и перешла речку.
Train,Я и мой друг Влад играли в разведчиков.
Train,Вдруг в небе появился коршун.
Train,Таня катит ком снега.
Train,Хлопушки клеит Саша Чудин.
Train,Дует тёплый ветерок.
Train,На краю леса росла сосна.
Train,Пушистый шарф лежит на ветках кедра.
Train,На бревне сидел кот Кузя.
Train,В сладкий сироп она опустила ягодки.
Train,Моя комната большая.
Train,На краю леса стоит ель.
Train,Надо спешить в школу.
Train,Папа Миши принёс в дом кота.
Train,Над водой чайки.
Train,Девочка умылась и быстро оделась.
Train,К дорожке выбежали сыроежки.
Train,Люди провожают зиму.
Train,Началась гроза.
Train,Липа цветёт летом.
Train,В доме пять этажей.
Train,У Даши и Гриши Житиных дача у деревни Ольгинки.
Train,Стоят погожие деньки.
Train,Надя собирает букет цветов для мамы.
Train,Мы любим свою школу.
Train,Хрупкий лёд треснул.
Train,Наш дом стоит на улице Жукова.
Train,В кустах зашуршало.
Train,Брат часто удит рыбу.
Train,На лесной полянке устроена кормушка.
Train,Пушистый снег в лесу лежал на сучьях и ветках.
Train,За лесом были поля.
Train,Часто моросит мелкий дождик.
Train,Хлопья снега тихо падают на землю.
Train,Грустно покидать родное гнездо.
Train,С горки ветер сдул белый наряд зимы.
Train,Идет урок.
Train,Так Слава помог товарищу.
Train,В дупле угомонились рыжие бельчата.
Train,Медвежонок сидел на пеньке.
Train,Зверьков я приносил из леса.
Train,На дорожках лужи.
Train,Грачам надо кормить птенцов.
Train,Осенью лес дарит нам плоды шиповника и полные лукошки рыжиков.
Train,Бабушка Клава давала всем чай.
Train,В тетради ребята старательно выводили слоги.
Train,Осенью деревце угощает нас румяными яблочками.
Train,Наша школа новая.
Train,В небе растаяли хмурые тучи.
Train,Песня птиц разнеслась по глухим тропам.
Train,Я испугался.
Train,Распустились яркие цветы.
Train,Во дворе бегут весёлые ручейки.
Train,На реке бобры делают плотины из стволов осины.
Train,Жили в доме собака Джек и рыжий кот Мурзик.
Train,Около окна стол.
Train,В деревне у дедушки Гриши живут кролики.
Train,Лиса и медведь живут в лесу.
Train,Ребята помогали на огороде.
Train,Дети готовят украшения.
Train,Ярко светит солнышко весь день.
Train,Я кричу своему другу.
Train,Славик и Вася ходили в лес.
Train,На стене часы пробили восемь раз.
Train,Мы живем в новом доме.
Train,На завтрак были душистый чай и булочка.
Train,У неё были щенки.
Train,Илья завязал ему больную лапу.
Train,Стоят тёплые деньки.
Train,Мы идем в лес.
Train,В саду созрели сладкие вишни.
Train,Летом Ваську взяли на дачу.
Train,Дули нехолодные ветры.
Train,Пора убирать и картофель.
Train,Не пищат в гнезде чижики.
Train,Пчёлы проснулись рано и полетели в поле.
Train,Настала весна.
Train,Юра поймал два леща и окунька.
Train,Под корнями дерева медведь устроил берлогу.
Train,Девочки прыгают через скакалку.
Train,Малыши катались с горки.
Train,Коля сделал из бумаги ёлку.
Train,К родным скворечникам вернулись весёлые скворцы.
Train,До весны залёг косолапый в спячку.
Train,Больной Дружок лежит под крыльцом.
Train,Лес полон звуков.
Train,Собака жила в лесу.
Train,Глеб поймал двух окуньков.
Train,Поют чижи.
Train,Щенка назвали снежок.
Train,У Любы живёт кот Васька.
Train,У кошки были зеленые глаза и кисточки на ушах.
Train,Мальчик подвязал яблоньку.
Train,Прошла хмурая осень.
Train,Девочки закричали.
Train,Рабочие строят дом.
Train,Игорь простудился.
Train,Я живу на улице Кольцова.
Train,Юра идёт в лес.
Train,Во дворе у гнезда появились грачи.
Train,Трава в росе.
Train,Летнее утро.
Train,В больших лесах живут олени.
Train,Скатывались струйки воды.
Train,Дни стали короче.
Train,У Гриши живёт щенок овчарки.
Train,Юра и Яша под ёлкой нашли ёжика.
Train,Кусты и старые пни закрывали тропку.
Train,Ярче светит солнышко.
Train,Пушистый мех укутал деревце.
Train,Под лист берёзки спрятался груздь.
Train,Глухо ударил гром.
Train,Зима ушла.
Train,Козочка даёт вкусное и полезное молоко.
Train,Теплее пригревает солнышко.
Train,Скоро она повела детишек к озеру.
Train,Хлеб с полей убрали.
Train,Земля покрыта снегом.
Train,Теперь все гуси плывут к мостику.
Train,Скоро осень.
Train,Январь открывает год.
Train,Ещё лежит на земле снег.
Train,У нас был урок труда.
Train,Утро было тёплое.
Train,Миша поил Рыжика молоком.
Train,Под сосной блестят шляпки маслят.
Train,Они положили его в шапку.
Train,Алеша и Коля шли в рощу.
Train,На реке гуси.
Train,У дома большая лужа.
Train,Пёс резко залаял.
Train,Сильные лапы впились в ствол.
Train,Мы с папой удили рыбу.
Train,Ребята стали удить рыбу.
Train,Я дал ей орешки.
Train,Он принёс лукошко черники.
Train,Серёжа кинул в воду корм.
Train,Готовы лесные жители к встрече зимы.
Train,Поют чижи и дрозды.
Train,Зиму мы ждали.
Train,У бабушки в саду много цветов.
Train,Грузили в автомашины и вывозили за город.
Train,Это суровый месяц.
Train,Розка жила на дворе.
Train,Дети рады.
Train,На груди блестела круглая брошка.
Train,С дядей Мишей сушили сено.
Train,Вход в нору был закрыт листьями.
Train,Наша дача в лесу.
Train,Над дальним лесом встала радуга.
Train,Осенью в лесу много грибов.
Train,Ранняя весна.
Train,В лесу стоит избушка.
Train,Весной лёд потемнел и стал непрочным.
Train,Было жарко.
Train,Под елкой норка.
Train,Вася взял лыжи.
Train,Весь день льёт дождь.
Train,Дядя Сёма работает на заводе.
Train,Малыши были рады.
Train,Часто бывали ежи и зайчата.
Train,Малыши катались с горы.
Train,Олег и Вася шли из школы.
Train,Пушистый снег покрыл лес и поле.
Train,Началась весна.
Train,В траве трещат зеленые кузнечики.
Train,У Алёши дом из снега.
Train,Осень наступила.
Train,Холодно стало в лесной чаще.
Train,Во дворе играют малыши.
Train,Ветер закружил пыль.
Train,Дети играли в школу.
Train,У Юры новые сани.
Train,На шляпку сыроежки упал жёлтый лист.
Train,Дима и Витя смастерили кормушку.
Train,Цветут душистые ландыши.
Train,У тропы дуб.
Train,Я любил работать с дедом.
Train,Мальчики сели на скамейку.
Train,На дворе март.
Train,В дальний путь собрались птицы.
Train,Собака Жучка быстро нашла свою игрушку.
Train,Бабушка связала для внучки носочки.
Train,Пришла весна.
Train,Лёгкий прибой чуть качает зелёные  водоросли.
Train,Тихо журчал ручей.
Train,Прощальную песенку запел скворец.
Train,У Тани санки.
Train,Снег на крыше начал таять.
Train,Настало утро.
Train,На улице сильная метель.
Train,Ваня взял санки.
Train,Детям весело.
Train,Рядом книжный шкаф.
Train,Но Юра не заплакал.
Train,Алёша запряг в сани Тома.
Train,В воде на дне видны мелкие камешки.
Train,Уже тепло.
Train,Андрюша нарисовал для сестрички открытку.
Train,Хвост пушистый.
Train,Мягкий пушистый снег сыпал почти каждую ночь.
Train,Кругом пушистый снег.
Train,Наступил апрель.
Train,Хрустит снег.
Train,В птичьих гнёздах пищат птенцы.
Train,Серые комочки были пушистые и мягкие.
Train,Берёзки и дубки скоро наденут зелёный наряд.
Train,Петя и Серёжа идут к речке.
Train,Прибежал Ваня.
Train,Стойкий солдатик был рядом.
Train,Надя и Катя помогают ей.
Train,Поднялся сильный ветер.
Train,Его озорные смешинки заблестели в прозрачных лужицах.
Train,Мальчик с дедом косил траву для козы Мушки.
Train,В семье пушистых белочек растут бельчата.
Train,Громко стучал дятел.
Train,Светит звезда.
Train,Ее звон испугал кота.
Train,Ищут добычу рысь и барсук.
Train,Ваня поймал щуку и леща.
Train,Дует холодный ветер.
Train,На куст сел воробей.
Train,Реже светит солнышко.
Train,Медведь ищет себе берлогу.
Train,На лапах тёмные пятна.
Train,Льёт сильный дождь.
Train,Рядом бежит Барбос.
Train,Бабушка угощала вкусными ягодами внуков.
Train,Даша нарисовала кошку с котёнком.
Train,В выходной мы всей семьёй были на речной прогулке.
Train,Зеленеют проталины.
Train,Кот Васька сидит у окна и наблюдает за птицами.
Train,Вечером в густой чаще засыпают лесные малыши.
Train,На окнах узоры.
Train,Выглянуло солнышко.
Train,Люба и Маша пасли утят на берегу реки.
Train,Тает снег.
Train,Дима и Артём бегут гулять во двор.
Train,Вечером в лесу особая жизнь.
Train,Улетают на юг птицы.
Train,Ваня Ёлкин играл с Колей.
Train,В лес приходит вечер.
Train,На чердаке у воробьёв было гнездо.
Train,В лесу чаща.
Train,Дядя Сёма хороший рабочий.
Train,Она учит детей.
Train,На дереве лежала рыжая кошка.
Train,У дедушки Матвея ели мёд.
Train,Природа встречает новый день.
Train,Ваня и Дима были у реки.
Train,С крыши на землю падали крупные капли.
Train,Они желают товарищу здоровья.
Train,Внук и дед работали дружно.
Train,Мама приготовила обед.
Train,Ком снега упал на старый пень.
Train,Ребята пришли в рощу.
Train,Всем весело.
Train,Коля принёс колья.
Train,Падал густой снег.
Train,в синей воде отражались лёгкие облачка и дальний лес.
Train,Желтеют листочки на деревьях.
Train,У зайца зимой белая шкурка.
Train,Ворона каркнула и полетела в рощу.
Train,В воздухе закружились пушистые снежинки.
Train,Клином потянулись на юг журавли.
Train,Наша мама добрая и ласковая.
Train,В вышине пищат весёлые стрижи.
Train,Ребята в лесу ищут шишки.
Train,С весёлым писком над городом летают стрижи.
Train,Весело закружились в воздухе снежинки.
Train,Мальчик дал ему кличку Смелый.
Train,Днём я с собакой Тимкой отправился в рощу.
In domain dev,На асфальте остались небольшие лужи.
In domain dev,Это корм для птиц.
In domain dev,Я поймал двух окуньков.
In domain dev,Катя и Юра идут в рощу.
In domain dev,Среди редких сосен рос вереск.
In domain dev,Дымок ест рыбу.
In domain dev,Рядом бежит пес Бимка.
In domain dev,Любят внучата к чаю это душистое лакомство.
In domain dev,Мальчики и девочки играли в прятки.
In domain dev,Весь день летают родители к гнезду.
In domain dev,Прилетели грачи.
In domain dev,Большой и прочный будет дом у птенцов.
In domain dev,У школы большая гора.
In domain dev,Небо стало светлым.
In domain dev,Голодно птичкам зимой.
In domain dev,Ударил мороз.
In domain dev,Мама насыпала в таз сахар.
In domain dev,Наступило утро.
In domain dev,Мама пришла с работы.
In domain dev,Света и Даша лепят из песка куличи.
In domain dev,Света и Паша учат уроки.
In domain dev,Мне семь лет.
In domain dev,Под елкой укрылись серые ежики.
In domain dev,Стоял чудесный день.
In domain dev,Гриша гуляет со щенком на собачьей площадке и учит его служить.
In domain dev,Скоро они будут читать книги.
